stem,image_J_or_degree_zero,non_J_component,full_3_primary_component,non_J_generators,notes,status,source
63,Z/3,0,Z/3,,"im J; t=(k+1)/4=16, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
64,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
65,0,Z/3,Z/3,alpha_1 beta_1 beta_2^2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
66,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
67,Z/3,0,Z/3,,"im J; t=(k+1)/4=17, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
68,0,Z/3,Z/3,x_68,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
69,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
70,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
71,Z/27,0,Z/27,,"im J; t=(k+1)/4=18, v_3(t)=2",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
72,0,Z/3,Z/3,beta_1^2 beta_2^2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
73,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
74,0,Z/3,Z/3,beta_5,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
75,Z/3,Z/9,Z/3 + Z/9,x_75,"im J; t=(k+1)/4=19, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
76,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
77,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
78,0,Z/3,Z/3,beta_2^3,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
79,Z/3,0,Z/3,,"im J; t=(k+1)/4=20, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
80,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
81,0,(Z/3)^2,(Z/3)^2,gamma_2; x_81,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
82,0,Z/3,Z/3,beta_{6/3},,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
83,Z/9,0,Z/9,,"im J; t=(k+1)/4=21, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
84,0,(Z/3)^2,(Z/3)^2,alpha_1 gamma_2; beta_1 beta_5,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
85,0,(Z/3)^2,(Z/3)^2,"<alpha_1,alpha_1,beta_2^3>; alpha_1 beta_{6/3}",,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
86,0,Z/3,Z/3,beta_{6/2},,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
87,Z/3,0,Z/3,,"im J; t=(k+1)/4=22, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
88,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
89,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
90,0,Z/3,Z/3,beta_6,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
