stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
0,all,degree zero,Z,,,pi_0^S=Z,exact in all dimensions
1,2,2-primary v1-periodic,Z/2,,,k=1 or 2,exact
2,2,2-primary v1-periodic,Z/2,,,k=1 or 2,exact
3,2,2-primary v1-periodic,Z/4,,,k=3,exact
3,3,odd-primary image J,Z/3,1,0,k=(2p-2)t-1,exact in all dimensions
7,2,2-primary image-J cyclic summand,Z/16,1,0,"k=8t-1, t odd*2^m",exact
7,3,odd-primary image J,Z/3,2,0,k=(2p-2)t-1,exact in all dimensions
7,5,odd-primary image J,Z/5,1,0,k=(2p-2)t-1,exact in all dimensions
8,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
9,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
10,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
11,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
11,3,odd-primary image J,Z/9,3,1,k=(2p-2)t-1,exact in all dimensions
11,7,odd-primary image J,Z/7,1,0,k=(2p-2)t-1,exact in all dimensions
15,2,2-primary image-J cyclic summand,Z/32,2,1,"k=8t-1, t odd*2^m",exact
15,3,odd-primary image J,Z/3,4,0,k=(2p-2)t-1,exact in all dimensions
15,5,odd-primary image J,Z/5,2,0,k=(2p-2)t-1,exact in all dimensions
16,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
17,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
18,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
19,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
19,3,odd-primary image J,Z/3,5,0,k=(2p-2)t-1,exact in all dimensions
19,11,odd-primary image J,Z/11,1,0,k=(2p-2)t-1,exact in all dimensions
23,2,2-primary image-J cyclic summand,Z/16,3,0,"k=8t-1, t odd*2^m",exact
23,3,odd-primary image J,Z/9,6,1,k=(2p-2)t-1,exact in all dimensions
23,5,odd-primary image J,Z/5,3,0,k=(2p-2)t-1,exact in all dimensions
23,7,odd-primary image J,Z/7,2,0,k=(2p-2)t-1,exact in all dimensions
23,13,odd-primary image J,Z/13,1,0,k=(2p-2)t-1,exact in all dimensions
24,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
25,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
26,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
27,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
27,3,odd-primary image J,Z/3,7,0,k=(2p-2)t-1,exact in all dimensions
31,2,2-primary image-J cyclic summand,Z/64,4,2,"k=8t-1, t odd*2^m",exact
31,3,odd-primary image J,Z/3,8,0,k=(2p-2)t-1,exact in all dimensions
31,5,odd-primary image J,Z/5,4,0,k=(2p-2)t-1,exact in all dimensions
31,17,odd-primary image J,Z/17,1,0,k=(2p-2)t-1,exact in all dimensions
32,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
33,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
34,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
35,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
35,3,odd-primary image J,Z/27,9,2,k=(2p-2)t-1,exact in all dimensions
35,7,odd-primary image J,Z/7,3,0,k=(2p-2)t-1,exact in all dimensions
35,19,odd-primary image J,Z/19,1,0,k=(2p-2)t-1,exact in all dimensions
39,2,2-primary image-J cyclic summand,Z/16,5,0,"k=8t-1, t odd*2^m",exact
39,3,odd-primary image J,Z/3,10,0,k=(2p-2)t-1,exact in all dimensions
39,5,odd-primary image J,Z/25,5,1,k=(2p-2)t-1,exact in all dimensions
39,11,odd-primary image J,Z/11,2,0,k=(2p-2)t-1,exact in all dimensions
40,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
41,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
42,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
43,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
43,3,odd-primary image J,Z/3,11,0,k=(2p-2)t-1,exact in all dimensions
43,23,odd-primary image J,Z/23,1,0,k=(2p-2)t-1,exact in all dimensions
47,2,2-primary image-J cyclic summand,Z/32,6,1,"k=8t-1, t odd*2^m",exact
47,3,odd-primary image J,Z/9,12,1,k=(2p-2)t-1,exact in all dimensions
47,5,odd-primary image J,Z/5,6,0,k=(2p-2)t-1,exact in all dimensions
47,7,odd-primary image J,Z/7,4,0,k=(2p-2)t-1,exact in all dimensions
47,13,odd-primary image J,Z/13,2,0,k=(2p-2)t-1,exact in all dimensions
48,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
49,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
50,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
51,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
51,3,odd-primary image J,Z/3,13,0,k=(2p-2)t-1,exact in all dimensions
55,2,2-primary image-J cyclic summand,Z/16,7,0,"k=8t-1, t odd*2^m",exact
55,3,odd-primary image J,Z/3,14,0,k=(2p-2)t-1,exact in all dimensions
55,5,odd-primary image J,Z/5,7,0,k=(2p-2)t-1,exact in all dimensions
55,29,odd-primary image J,Z/29,1,0,k=(2p-2)t-1,exact in all dimensions
56,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
57,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
58,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
59,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
59,3,odd-primary image J,Z/9,15,1,k=(2p-2)t-1,exact in all dimensions
59,7,odd-primary image J,Z/7,5,0,k=(2p-2)t-1,exact in all dimensions
59,11,odd-primary image J,Z/11,3,0,k=(2p-2)t-1,exact in all dimensions
59,31,odd-primary image J,Z/31,1,0,k=(2p-2)t-1,exact in all dimensions
63,2,2-primary image-J cyclic summand,Z/128,8,3,"k=8t-1, t odd*2^m",exact
63,3,odd-primary image J,Z/3,16,0,k=(2p-2)t-1,exact in all dimensions
63,5,odd-primary image J,Z/5,8,0,k=(2p-2)t-1,exact in all dimensions
63,17,odd-primary image J,Z/17,2,0,k=(2p-2)t-1,exact in all dimensions
64,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
65,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
66,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
67,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
67,3,odd-primary image J,Z/3,17,0,k=(2p-2)t-1,exact in all dimensions
71,2,2-primary image-J cyclic summand,Z/16,9,0,"k=8t-1, t odd*2^m",exact
71,3,odd-primary image J,Z/27,18,2,k=(2p-2)t-1,exact in all dimensions
71,5,odd-primary image J,Z/5,9,0,k=(2p-2)t-1,exact in all dimensions
71,7,odd-primary image J,Z/7,6,0,k=(2p-2)t-1,exact in all dimensions
71,13,odd-primary image J,Z/13,3,0,k=(2p-2)t-1,exact in all dimensions
71,19,odd-primary image J,Z/19,2,0,k=(2p-2)t-1,exact in all dimensions
71,37,odd-primary image J,Z/37,1,0,k=(2p-2)t-1,exact in all dimensions
72,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
73,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
74,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
75,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
75,3,odd-primary image J,Z/3,19,0,k=(2p-2)t-1,exact in all dimensions
79,2,2-primary image-J cyclic summand,Z/32,10,1,"k=8t-1, t odd*2^m",exact
79,3,odd-primary image J,Z/3,20,0,k=(2p-2)t-1,exact in all dimensions
79,5,odd-primary image J,Z/25,10,1,k=(2p-2)t-1,exact in all dimensions
79,11,odd-primary image J,Z/11,4,0,k=(2p-2)t-1,exact in all dimensions
79,41,odd-primary image J,Z/41,1,0,k=(2p-2)t-1,exact in all dimensions
80,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
81,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
82,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
83,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
83,3,odd-primary image J,Z/9,21,1,k=(2p-2)t-1,exact in all dimensions
83,7,odd-primary image J,Z/49,7,1,k=(2p-2)t-1,exact in all dimensions
83,43,odd-primary image J,Z/43,1,0,k=(2p-2)t-1,exact in all dimensions
87,2,2-primary image-J cyclic summand,Z/16,11,0,"k=8t-1, t odd*2^m",exact
87,3,odd-primary image J,Z/3,22,0,k=(2p-2)t-1,exact in all dimensions
87,5,odd-primary image J,Z/5,11,0,k=(2p-2)t-1,exact in all dimensions
87,23,odd-primary image J,Z/23,2,0,k=(2p-2)t-1,exact in all dimensions
88,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
89,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
90,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
91,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
91,3,odd-primary image J,Z/3,23,0,k=(2p-2)t-1,exact in all dimensions
91,47,odd-primary image J,Z/47,1,0,k=(2p-2)t-1,exact in all dimensions
95,2,2-primary image-J cyclic summand,Z/64,12,2,"k=8t-1, t odd*2^m",exact
95,3,odd-primary image J,Z/9,24,1,k=(2p-2)t-1,exact in all dimensions
95,5,odd-primary image J,Z/5,12,0,k=(2p-2)t-1,exact in all dimensions
95,7,odd-primary image J,Z/7,8,0,k=(2p-2)t-1,exact in all dimensions
95,13,odd-primary image J,Z/13,4,0,k=(2p-2)t-1,exact in all dimensions
95,17,odd-primary image J,Z/17,3,0,k=(2p-2)t-1,exact in all dimensions
96,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
97,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
98,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
99,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
99,3,odd-primary image J,Z/3,25,0,k=(2p-2)t-1,exact in all dimensions
99,11,odd-primary image J,Z/11,5,0,k=(2p-2)t-1,exact in all dimensions
103,2,2-primary image-J cyclic summand,Z/16,13,0,"k=8t-1, t odd*2^m",exact
103,3,odd-primary image J,Z/3,26,0,k=(2p-2)t-1,exact in all dimensions
103,5,odd-primary image J,Z/5,13,0,k=(2p-2)t-1,exact in all dimensions
103,53,odd-primary image J,Z/53,1,0,k=(2p-2)t-1,exact in all dimensions
104,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
105,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
106,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
107,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
107,3,odd-primary image J,Z/81,27,3,k=(2p-2)t-1,exact in all dimensions
107,7,odd-primary image J,Z/7,9,0,k=(2p-2)t-1,exact in all dimensions
107,19,odd-primary image J,Z/19,3,0,k=(2p-2)t-1,exact in all dimensions
111,2,2-primary image-J cyclic summand,Z/32,14,1,"k=8t-1, t odd*2^m",exact
111,3,odd-primary image J,Z/3,28,0,k=(2p-2)t-1,exact in all dimensions
111,5,odd-primary image J,Z/5,14,0,k=(2p-2)t-1,exact in all dimensions
111,29,odd-primary image J,Z/29,2,0,k=(2p-2)t-1,exact in all dimensions
112,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
113,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
114,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
115,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
115,3,odd-primary image J,Z/3,29,0,k=(2p-2)t-1,exact in all dimensions
115,59,odd-primary image J,Z/59,1,0,k=(2p-2)t-1,exact in all dimensions
119,2,2-primary image-J cyclic summand,Z/16,15,0,"k=8t-1, t odd*2^m",exact
119,3,odd-primary image J,Z/9,30,1,k=(2p-2)t-1,exact in all dimensions
119,5,odd-primary image J,Z/25,15,1,k=(2p-2)t-1,exact in all dimensions
119,7,odd-primary image J,Z/7,10,0,k=(2p-2)t-1,exact in all dimensions
119,11,odd-primary image J,Z/11,6,0,k=(2p-2)t-1,exact in all dimensions
119,13,odd-primary image J,Z/13,5,0,k=(2p-2)t-1,exact in all dimensions
119,31,odd-primary image J,Z/31,2,0,k=(2p-2)t-1,exact in all dimensions
119,61,odd-primary image J,Z/61,1,0,k=(2p-2)t-1,exact in all dimensions
120,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
121,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
122,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
123,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
123,3,odd-primary image J,Z/3,31,0,k=(2p-2)t-1,exact in all dimensions
127,2,2-primary image-J cyclic summand,Z/256,16,4,"k=8t-1, t odd*2^m",exact
127,3,odd-primary image J,Z/3,32,0,k=(2p-2)t-1,exact in all dimensions
127,5,odd-primary image J,Z/5,16,0,k=(2p-2)t-1,exact in all dimensions
127,17,odd-primary image J,Z/17,4,0,k=(2p-2)t-1,exact in all dimensions
128,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
129,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
130,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
131,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
131,3,odd-primary image J,Z/9,33,1,k=(2p-2)t-1,exact in all dimensions
131,7,odd-primary image J,Z/7,11,0,k=(2p-2)t-1,exact in all dimensions
131,23,odd-primary image J,Z/23,3,0,k=(2p-2)t-1,exact in all dimensions
131,67,odd-primary image J,Z/67,1,0,k=(2p-2)t-1,exact in all dimensions
135,2,2-primary image-J cyclic summand,Z/16,17,0,"k=8t-1, t odd*2^m",exact
135,3,odd-primary image J,Z/3,34,0,k=(2p-2)t-1,exact in all dimensions
135,5,odd-primary image J,Z/5,17,0,k=(2p-2)t-1,exact in all dimensions
136,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
137,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
138,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
139,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
139,3,odd-primary image J,Z/3,35,0,k=(2p-2)t-1,exact in all dimensions
139,11,odd-primary image J,Z/11,7,0,k=(2p-2)t-1,exact in all dimensions
139,71,odd-primary image J,Z/71,1,0,k=(2p-2)t-1,exact in all dimensions
143,2,2-primary image-J cyclic summand,Z/32,18,1,"k=8t-1, t odd*2^m",exact
143,3,odd-primary image J,Z/27,36,2,k=(2p-2)t-1,exact in all dimensions
143,5,odd-primary image J,Z/5,18,0,k=(2p-2)t-1,exact in all dimensions
143,7,odd-primary image J,Z/7,12,0,k=(2p-2)t-1,exact in all dimensions
143,13,odd-primary image J,Z/13,6,0,k=(2p-2)t-1,exact in all dimensions
143,19,odd-primary image J,Z/19,4,0,k=(2p-2)t-1,exact in all dimensions
143,37,odd-primary image J,Z/37,2,0,k=(2p-2)t-1,exact in all dimensions
143,73,odd-primary image J,Z/73,1,0,k=(2p-2)t-1,exact in all dimensions
144,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
145,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
146,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
147,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
147,3,odd-primary image J,Z/3,37,0,k=(2p-2)t-1,exact in all dimensions
151,2,2-primary image-J cyclic summand,Z/16,19,0,"k=8t-1, t odd*2^m",exact
151,3,odd-primary image J,Z/3,38,0,k=(2p-2)t-1,exact in all dimensions
151,5,odd-primary image J,Z/5,19,0,k=(2p-2)t-1,exact in all dimensions
152,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
153,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
154,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
155,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
155,3,odd-primary image J,Z/9,39,1,k=(2p-2)t-1,exact in all dimensions
155,7,odd-primary image J,Z/7,13,0,k=(2p-2)t-1,exact in all dimensions
155,79,odd-primary image J,Z/79,1,0,k=(2p-2)t-1,exact in all dimensions
159,2,2-primary image-J cyclic summand,Z/64,20,2,"k=8t-1, t odd*2^m",exact
159,3,odd-primary image J,Z/3,40,0,k=(2p-2)t-1,exact in all dimensions
159,5,odd-primary image J,Z/25,20,1,k=(2p-2)t-1,exact in all dimensions
159,11,odd-primary image J,Z/11,8,0,k=(2p-2)t-1,exact in all dimensions
159,17,odd-primary image J,Z/17,5,0,k=(2p-2)t-1,exact in all dimensions
159,41,odd-primary image J,Z/41,2,0,k=(2p-2)t-1,exact in all dimensions
160,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
161,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
162,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
163,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
163,3,odd-primary image J,Z/3,41,0,k=(2p-2)t-1,exact in all dimensions
163,83,odd-primary image J,Z/83,1,0,k=(2p-2)t-1,exact in all dimensions
167,2,2-primary image-J cyclic summand,Z/16,21,0,"k=8t-1, t odd*2^m",exact
167,3,odd-primary image J,Z/9,42,1,k=(2p-2)t-1,exact in all dimensions
167,5,odd-primary image J,Z/5,21,0,k=(2p-2)t-1,exact in all dimensions
167,7,odd-primary image J,Z/49,14,1,k=(2p-2)t-1,exact in all dimensions
167,13,odd-primary image J,Z/13,7,0,k=(2p-2)t-1,exact in all dimensions
167,29,odd-primary image J,Z/29,3,0,k=(2p-2)t-1,exact in all dimensions
167,43,odd-primary image J,Z/43,2,0,k=(2p-2)t-1,exact in all dimensions
168,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
169,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
170,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
171,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
171,3,odd-primary image J,Z/3,43,0,k=(2p-2)t-1,exact in all dimensions
175,2,2-primary image-J cyclic summand,Z/32,22,1,"k=8t-1, t odd*2^m",exact
175,3,odd-primary image J,Z/3,44,0,k=(2p-2)t-1,exact in all dimensions
175,5,odd-primary image J,Z/5,22,0,k=(2p-2)t-1,exact in all dimensions
175,23,odd-primary image J,Z/23,4,0,k=(2p-2)t-1,exact in all dimensions
175,89,odd-primary image J,Z/89,1,0,k=(2p-2)t-1,exact in all dimensions
176,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
177,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
178,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
179,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
179,3,odd-primary image J,Z/27,45,2,k=(2p-2)t-1,exact in all dimensions
179,7,odd-primary image J,Z/7,15,0,k=(2p-2)t-1,exact in all dimensions
179,11,odd-primary image J,Z/11,9,0,k=(2p-2)t-1,exact in all dimensions
179,19,odd-primary image J,Z/19,5,0,k=(2p-2)t-1,exact in all dimensions
179,31,odd-primary image J,Z/31,3,0,k=(2p-2)t-1,exact in all dimensions
183,2,2-primary image-J cyclic summand,Z/16,23,0,"k=8t-1, t odd*2^m",exact
183,3,odd-primary image J,Z/3,46,0,k=(2p-2)t-1,exact in all dimensions
183,5,odd-primary image J,Z/5,23,0,k=(2p-2)t-1,exact in all dimensions
183,47,odd-primary image J,Z/47,2,0,k=(2p-2)t-1,exact in all dimensions
184,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
185,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
186,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
187,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
187,3,odd-primary image J,Z/3,47,0,k=(2p-2)t-1,exact in all dimensions
191,2,2-primary image-J cyclic summand,Z/128,24,3,"k=8t-1, t odd*2^m",exact
191,3,odd-primary image J,Z/9,48,1,k=(2p-2)t-1,exact in all dimensions
191,5,odd-primary image J,Z/5,24,0,k=(2p-2)t-1,exact in all dimensions
191,7,odd-primary image J,Z/7,16,0,k=(2p-2)t-1,exact in all dimensions
191,13,odd-primary image J,Z/13,8,0,k=(2p-2)t-1,exact in all dimensions
191,17,odd-primary image J,Z/17,6,0,k=(2p-2)t-1,exact in all dimensions
191,97,odd-primary image J,Z/97,1,0,k=(2p-2)t-1,exact in all dimensions
192,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
193,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
194,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
195,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
195,3,odd-primary image J,Z/3,49,0,k=(2p-2)t-1,exact in all dimensions
199,2,2-primary image-J cyclic summand,Z/16,25,0,"k=8t-1, t odd*2^m",exact
199,3,odd-primary image J,Z/3,50,0,k=(2p-2)t-1,exact in all dimensions
199,5,odd-primary image J,Z/125,25,2,k=(2p-2)t-1,exact in all dimensions
199,11,odd-primary image J,Z/11,10,0,k=(2p-2)t-1,exact in all dimensions
199,101,odd-primary image J,Z/101,1,0,k=(2p-2)t-1,exact in all dimensions
200,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
201,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
202,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
203,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
203,3,odd-primary image J,Z/9,51,1,k=(2p-2)t-1,exact in all dimensions
203,7,odd-primary image J,Z/7,17,0,k=(2p-2)t-1,exact in all dimensions
203,103,odd-primary image J,Z/103,1,0,k=(2p-2)t-1,exact in all dimensions
207,2,2-primary image-J cyclic summand,Z/32,26,1,"k=8t-1, t odd*2^m",exact
207,3,odd-primary image J,Z/3,52,0,k=(2p-2)t-1,exact in all dimensions
207,5,odd-primary image J,Z/5,26,0,k=(2p-2)t-1,exact in all dimensions
207,53,odd-primary image J,Z/53,2,0,k=(2p-2)t-1,exact in all dimensions
208,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
209,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
210,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
211,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
211,3,odd-primary image J,Z/3,53,0,k=(2p-2)t-1,exact in all dimensions
211,107,odd-primary image J,Z/107,1,0,k=(2p-2)t-1,exact in all dimensions
215,2,2-primary image-J cyclic summand,Z/16,27,0,"k=8t-1, t odd*2^m",exact
215,3,odd-primary image J,Z/81,54,3,k=(2p-2)t-1,exact in all dimensions
215,5,odd-primary image J,Z/5,27,0,k=(2p-2)t-1,exact in all dimensions
215,7,odd-primary image J,Z/7,18,0,k=(2p-2)t-1,exact in all dimensions
215,13,odd-primary image J,Z/13,9,0,k=(2p-2)t-1,exact in all dimensions
215,19,odd-primary image J,Z/19,6,0,k=(2p-2)t-1,exact in all dimensions
215,37,odd-primary image J,Z/37,3,0,k=(2p-2)t-1,exact in all dimensions
215,109,odd-primary image J,Z/109,1,0,k=(2p-2)t-1,exact in all dimensions
216,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
217,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
218,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
219,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
219,3,odd-primary image J,Z/3,55,0,k=(2p-2)t-1,exact in all dimensions
219,11,odd-primary image J,Z/121,11,1,k=(2p-2)t-1,exact in all dimensions
219,23,odd-primary image J,Z/23,5,0,k=(2p-2)t-1,exact in all dimensions
223,2,2-primary image-J cyclic summand,Z/64,28,2,"k=8t-1, t odd*2^m",exact
223,3,odd-primary image J,Z/3,56,0,k=(2p-2)t-1,exact in all dimensions
223,5,odd-primary image J,Z/5,28,0,k=(2p-2)t-1,exact in all dimensions
223,17,odd-primary image J,Z/17,7,0,k=(2p-2)t-1,exact in all dimensions
223,29,odd-primary image J,Z/29,4,0,k=(2p-2)t-1,exact in all dimensions
223,113,odd-primary image J,Z/113,1,0,k=(2p-2)t-1,exact in all dimensions
224,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
225,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
226,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
227,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
227,3,odd-primary image J,Z/9,57,1,k=(2p-2)t-1,exact in all dimensions
227,7,odd-primary image J,Z/7,19,0,k=(2p-2)t-1,exact in all dimensions
231,2,2-primary image-J cyclic summand,Z/16,29,0,"k=8t-1, t odd*2^m",exact
231,3,odd-primary image J,Z/3,58,0,k=(2p-2)t-1,exact in all dimensions
231,5,odd-primary image J,Z/5,29,0,k=(2p-2)t-1,exact in all dimensions
231,59,odd-primary image J,Z/59,2,0,k=(2p-2)t-1,exact in all dimensions
232,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
233,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
234,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
235,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
235,3,odd-primary image J,Z/3,59,0,k=(2p-2)t-1,exact in all dimensions
239,2,2-primary image-J cyclic summand,Z/32,30,1,"k=8t-1, t odd*2^m",exact
239,3,odd-primary image J,Z/9,60,1,k=(2p-2)t-1,exact in all dimensions
239,5,odd-primary image J,Z/25,30,1,k=(2p-2)t-1,exact in all dimensions
239,7,odd-primary image J,Z/7,20,0,k=(2p-2)t-1,exact in all dimensions
239,11,odd-primary image J,Z/11,12,0,k=(2p-2)t-1,exact in all dimensions
239,13,odd-primary image J,Z/13,10,0,k=(2p-2)t-1,exact in all dimensions
239,31,odd-primary image J,Z/31,4,0,k=(2p-2)t-1,exact in all dimensions
239,41,odd-primary image J,Z/41,3,0,k=(2p-2)t-1,exact in all dimensions
239,61,odd-primary image J,Z/61,2,0,k=(2p-2)t-1,exact in all dimensions
