stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
843,3,odd-primary image J,Z/3,211,0,k=(2p-2)t-1,exact in all dimensions
847,2,2-primary image-J cyclic summand,Z/32,106,1,"k=8t-1, t odd*2^m",exact
847,3,odd-primary image J,Z/3,212,0,k=(2p-2)t-1,exact in all dimensions
847,5,odd-primary image J,Z/5,106,0,k=(2p-2)t-1,exact in all dimensions
847,107,odd-primary image J,Z/107,4,0,k=(2p-2)t-1,exact in all dimensions
848,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
849,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
850,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
851,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
851,3,odd-primary image J,Z/9,213,1,k=(2p-2)t-1,exact in all dimensions
851,7,odd-primary image J,Z/7,71,0,k=(2p-2)t-1,exact in all dimensions
855,2,2-primary image-J cyclic summand,Z/16,107,0,"k=8t-1, t odd*2^m",exact
855,3,odd-primary image J,Z/3,214,0,k=(2p-2)t-1,exact in all dimensions
855,5,odd-primary image J,Z/5,107,0,k=(2p-2)t-1,exact in all dimensions
856,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
857,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
858,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
859,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
859,3,odd-primary image J,Z/3,215,0,k=(2p-2)t-1,exact in all dimensions
859,11,odd-primary image J,Z/11,43,0,k=(2p-2)t-1,exact in all dimensions
859,431,odd-primary image J,Z/431,1,0,k=(2p-2)t-1,exact in all dimensions
863,2,2-primary image-J cyclic summand,Z/64,108,2,"k=8t-1, t odd*2^m",exact
863,3,odd-primary image J,Z/81,216,3,k=(2p-2)t-1,exact in all dimensions
863,5,odd-primary image J,Z/5,108,0,k=(2p-2)t-1,exact in all dimensions
863,7,odd-primary image J,Z/7,72,0,k=(2p-2)t-1,exact in all dimensions
863,13,odd-primary image J,Z/13,36,0,k=(2p-2)t-1,exact in all dimensions
863,17,odd-primary image J,Z/17,27,0,k=(2p-2)t-1,exact in all dimensions
863,19,odd-primary image J,Z/19,24,0,k=(2p-2)t-1,exact in all dimensions
863,37,odd-primary image J,Z/37,12,0,k=(2p-2)t-1,exact in all dimensions
863,73,odd-primary image J,Z/73,6,0,k=(2p-2)t-1,exact in all dimensions
863,109,odd-primary image J,Z/109,4,0,k=(2p-2)t-1,exact in all dimensions
863,433,odd-primary image J,Z/433,1,0,k=(2p-2)t-1,exact in all dimensions
864,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
865,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
866,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
867,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
